Task,Filename,Type,NIQE,BRISQUE,Entropy,LOE,Sharpness,Gradient
LowLight_ZeroDCE,img_103.PNG,low_light,,,2.8386106491088867,226.9344,,
LowLight_ZeroDCE,img_104.PNG,low_light,,,2.865703582763672,204.9197,,
LowLight_ZeroDCE,img_105.PNG,low_light,,,3.3645663261413574,220.8099,,
LowLight_ZeroDCE,img_106.PNG,low_light,,,2.979214668273926,264.774,,
LowLight_ZeroDCE,img_107.PNG,low_light,,,2.9125466346740723,232.2241,,
LowLight_ZeroDCE,img_108.PNG,low_light,,,3.387928009033203,245.727,,
LowLight_ZeroDCE,img_109.PNG,low_light,,,3.0414299964904785,238.6884,,
LowLight_ZeroDCE,img_110.PNG,low_light,,,2.7071850299835205,160.4149,,
LowLight_ZeroDCE,img_111.PNG,low_light,,,2.9345483779907227,241.2537,,
LowLight_ZeroDCE,img_112.PNG,low_light,,,2.1211471557617188,193.3821,,
LowLight_ZeroDCE,img_113.PNG,low_light,,,2.519798517227173,166.3823,,
LowLight_ZeroDCE,img_114.PNG,low_light,,,2.9502615928649902,210.499,,
LowLight_ZeroDCE,img_115.PNG,low_light,,,3.3382182121276855,311.2285,,
LowLight_ZeroDCE,img_116.PNG,low_light,,,3.5361695289611816,291.3412,,
LowLight_ZeroDCE,img_117.PNG,low_light,,,3.503206729888916,307.6095,,
LowLight_ZeroDCE,img_118.PNG,low_light,,,4.28139591217041,352.2728,,
LowLight_ZeroDCE,img_119.PNG,low_light,,,3.2688469886779785,237.5372,,
LowLight_ZeroDCE,img_120.PNG,low_light,,,1.9183192253112793,265.8031,,
LowLight_ZeroDCE,img_121.PNG,low_light,,,3.2853503227233887,215.5014,,
LowLight_ZeroDCE,img_122.PNG,low_light,,,2.799872636795044,208.5449,,
LowLight_ZeroDCE,img_123.PNG,low_light,,,1.9975813627243042,158.8536,,
LowLight_ZeroDCE,img_124.PNG,low_light,,,3.43386173248291,288.6785,,
LowLight_ZeroDCE,img_125.PNG,low_light,,,3.566807985305786,327.2649,,
LowLight_ZeroDCE,img_126.PNG,low_light,,,4.002776145935059,428.0999,,
LowLight_ZeroDCE,img_127.PNG,low_light,,,2.9001872539520264,366.3852,,
LowLight_ZeroDCE,img_128.PNG,low_light,,,2.583178997039795,217.4956,,
LowLight_ZeroDCE,img_129.PNG,low_light,,,2.8721237182617188,294.7414,,
LowLight_ZeroDCE,img_130.PNG,low_light,,,1.5507344007492065,229.7496,,
LowLight_ZeroDCE,img_131.PNG,low_light,,,1.0247488021850586,125.4494,,
LowLight_ZeroDCE,img_132.PNG,low_light,,,1.8340336084365845,224.0408,,
LowLight_ZeroDCE,img_133.PNG,low_light,,,2.8545005321502686,252.3027,,
LowLight_ZeroDCE,img_134.PNG,low_light,,,3.789288282394409,227.9784,,
LowLight_ZeroDCE,img_135.PNG,low_light,,,3.6298065185546875,234.4458,,
LowLight_ZeroDCE,img_136.PNG,low_light,,,1.8059158325195312,263.4482,,
LowLight_ZeroDCE,img_137.PNG,low_light,,,3.4432742595672607,242.2276,,
LowLight_ZeroDCE,img_138.PNG,low_light,,,2.2273430824279785,248.1796,,
LowLight_ZeroDCE,img_139.PNG,low_light,,,0.6740187406539917,140.1048,,
LowLight_ZeroDCE,img_140.PNG,low_light,,,1.8913131952285767,292.2146,,
LowLight_ZeroDCE,img_141.PNG,low_light,,,2.434915542602539,380.9653,,
LowLight_ZeroDCE,img_142.PNG,low_light,,,3.6248443126678467,335.9121,,
LowLight_ZeroDCE,img_143.PNG,low_light,,,3.6256766319274902,323.7167,,
LowLight_ZeroDCE,img_144.PNG,low_light,,,3.7626419067382812,318.3902,,
LowLight_ZeroDCE,img_145.PNG,low_light,,,3.7443535327911377,326.293,,
LowLight_ZeroDCE,img_146.PNG,low_light,,,3.770270347595215,322.6726,,
LowLight_ZeroDCE,img_147.PNG,low_light,,,4.084675312042236,296.7488,,
LowLight_ZeroDCE,img_148.PNG,low_light,,,3.974621534347534,320.3618,,
LowLight_ZeroDCE,img_149.PNG,low_light,,,2.8464505672454834,335.4786,,
LowLight_ZeroDCE,img_150.PNG,low_light,,,2.485569953918457,198.067,,
LowLight_ZeroDCE,img_151.PNG,low_light,,,1.4863274097442627,234.1178,,
LowLight_ZeroDCE,img_152.PNG,low_light,,,2.2367501258850098,214.9634,,
LowLight_ZeroDCE,img_153.PNG,low_light,,,4.402803421020508,326.1757,,
LowLight_ZeroDCE,img_154.PNG,low_light,,,3.2056660652160645,268.3103,,
LowLight_ZeroDCE,img_155.PNG,low_light,,,1.402357578277588,205.2484,,
LowLight_ZeroDCE,img_156.PNG,low_light,,,3.748850107192993,243.0804,,
LowLight_ZeroDCE,img_157.PNG,low_light,,,1.7104487419128418,179.5739,,
LowLight_ZeroDCE,img_158.PNG,low_light,,,2.4361824989318848,226.0404,,
LowLight_ZeroDCE,img_159.PNG,low_light,,,1.8231688737869263,246.0962,,
LowLight_ZeroDCE,img_160.PNG,low_light,,,2.2124154567718506,174.1704,,
LowLight_ZeroDCE,img_161.PNG,low_light,,,2.1242589950561523,240.9663,,
